,lower,mean,upper
gru_unstacked_iterative,1.7362373631400105,2.31171304,2.8871887168599892
lstm_stacked_iterative,2.127404675194967,2.39220806,2.6570114448050335
cnn,2.533338821703948,2.7617970400000003,2.9902552582960524
mlr,2.4541470520196085,2.8784754599999998,3.302803867980391
lstm_stacked_joint,3.0782030644296907,3.2231298199999996,3.3680565755703085
rf,2.8448771400389568,3.2310857200000003,3.617294299961044
gru_stacked_joint,2.8366416544177326,4.10206044,5.367479225582267
lstm_unstacked_iterative,2.664964346449058,4.24343174,5.821899133550942
gru_unstacked_joint,2.9012462105993357,4.2775944,5.653942589400664
gru_stacked_iterative,3.936108455834307,4.29848274,4.660857024165693
lstm_unstacked_joint,3.5280525109868073,6.2626449399999995,8.997237369013192
