,lower,mean,upper
gru_unstacked_iterative,2.3833540871554826,3.25430062,4.125247152844517
lstm_stacked_iterative,2.877830743322406,3.38302982,3.8882288966775937
cnn,3.6630674314177956,3.8672142000000003,4.071360968582205
rf,3.330186998490441,3.91774082,4.505294641509559
mlr,3.1280427598366147,3.9305914200000003,4.733140080163386
lstm_stacked_joint,3.8303769035710173,3.9938019000000002,4.157226896428983
gru_stacked_joint,4.167416739706202,4.99364394,5.819871140293798
gru_stacked_iterative,4.93304300024702,5.00283462,5.07262623975298
gru_unstacked_joint,4.221044053258235,5.18660446,6.1521648667417645
lstm_unstacked_iterative,4.205629995977558,5.2520109,6.298391804022442
lstm_unstacked_joint,5.436686975001548,7.50733986,9.577992744998452
